Date,Location,Population
2019-12-31,Afghanistan,38928341
2020-01-01,Afghanistan,38928341
2020-01-02,Afghanistan,38928341
2020-01-03,Afghanistan,38928341
2020-01-04,Afghanistan,38928341
2020-01-05,Afghanistan,38928341
2020-01-06,Afghanistan,38928341
2020-01-07,Afghanistan,38928341
2020-01-08,Afghanistan,38928341
2020-01-09,Afghanistan,38928341
2020-01-10,Afghanistan,38928341
2020-01-11,Afghanistan,38928341
2020-01-12,Afghanistan,38928341
2020-01-13,Afghanistan,38928341
2020-01-14,Afghanistan,38928341
2020-01-15,Afghanistan,38928341
2020-01-16,Afghanistan,38928341
2020-01-17,Afghanistan,38928341
2020-01-18,Afghanistan,38928341
2020-01-19,Afghanistan,38928341
2020-01-20,Afghanistan,38928341
2020-01-21,Afghanistan,38928341
2020-01-22,Afghanistan,38928341
2020-01-23,Afghanistan,38928341
2020-01-24,Afghanistan,38928341
2020-01-25,Afghanistan,38928341
2020-01-26,Afghanistan,38928341
2020-01-27,Afghanistan,38928341
2020-01-28,Afghanistan,38928341
2020-01-29,Afghanistan,38928341
2020-01-30,Afghanistan,38928341
2020-01-31,Afghanistan,38928341
2020-02-01,Afghanistan,38928341
2020-02-02,Afghanistan,38928341
2020-02-03,Afghanistan,38928341
2020-02-04,Afghanistan,38928341
2020-02-05,Afghanistan,38928341
2020-02-06,Afghanistan,38928341
2020-02-07,Afghanistan,38928341
2020-02-08,Afghanistan,38928341
2020-02-09,Afghanistan,38928341
2020-02-10,Afghanistan,38928341
2020-02-11,Afghanistan,38928341
2020-02-12,Afghanistan,38928341
2020-02-13,Afghanistan,38928341
2020-02-14,Afghanistan,38928341
2020-02-15,Afghanistan,38928341
2020-02-16,Afghanistan,38928341
2020-02-17,Afghanistan,38928341
2020-02-18,Afghanistan,38928341
2020-02-19,Afghanistan,38928341
2020-02-20,Afghanistan,38928341
2020-02-21,Afghanistan,38928341
2020-02-22,Afghanistan,38928341
2020-02-23,Afghanistan,38928341
2020-02-24,Afghanistan,38928341
2020-02-25,Afghanistan,38928341
2020-02-26,Afghanistan,38928341
2020-02-27,Afghanistan,38928341
2020-02-28,Afghanistan,38928341
2020-02-29,Afghanistan,38928341
2020-03-01,Afghanistan,38928341
2020-03-02,Afghanistan,38928341
2020-03-03,Afghanistan,38928341
2020-03-04,Afghanistan,38928341
2020-03-05,Afghanistan,38928341
2020-03-06,Afghanistan,38928341
2020-03-07,Afghanistan,38928341
2020-03-08,Afghanistan,38928341
2020-03-09,Afghanistan,38928341
2020-03-10,Afghanistan,38928341
2020-03-11,Afghanistan,38928341
2020-03-12,Afghanistan,38928341
2020-03-13,Afghanistan,38928341
2020-03-14,Afghanistan,38928341
2020-03-15,Afghanistan,38928341
2020-03-16,Afghanistan,38928341
2020-03-17,Afghanistan,38928341
2020-03-18,Afghanistan,38928341
2020-03-19,Afghanistan,38928341
2020-03-20,Afghanistan,38928341
2020-03-21,Afghanistan,38928341
2020-03-22,Afghanistan,38928341
2020-03-23,Afghanistan,38928341
2020-03-24,Afghanistan,38928341
2020-03-25,Afghanistan,38928341
2020-03-26,Afghanistan,38928341
